[   9331]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml1-transitional.dtd by request of index XmlTagNames 
[   9331]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-link-1.mod by request of index FrameworkDetectionIndex 
[   9332]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-mobile/xhtml-mobile12-form.mod by request of index FrameworkDetectionIndex 
[   9334]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-list-1.mod by request of index FrameworkDetectionIndex 
[   9335]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-mobile/xhtml-mobile10-model-1.mod by request of index FrameworkDetectionIndex 
[   9337]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-meta-1.mod by request of index FrameworkDetectionIndex 
[   9338]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml-mobile/xhtml-mobile12-model-1.mod by request of index FrameworkDetectionIndex 
[   9339]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-pres-1.mod by request of index FrameworkDetectionIndex 
[   9339]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/0002_xhtml5.patch by request of index FrameworkDetectionIndex 
[   9340]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml1-transitional.xsd by request of index fileIncludes 
[   9340]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/XMLSchema-versioning.xsd by request of index fileIncludes 
[   9341]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/patch_build.patch by request of index FrameworkDetectionIndex 
[   9342]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/core-scripting-ext.rnc by request of index fileIncludes 
[   9343]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/0005_html5_namespace.patch by request of index FrameworkDetectionIndex 
